nx,N,K0,M_K,R_size,t,seed,alpha,J,V_label,R_hops,err_b_K_rel,err_rho_vs_full,err_E_LP,leakage_apriori,bound_apriori,err_Z_frob,err_rho_lp_vs_full,rt_build_H_s,rt_eig_s,rt_full_s,rt_galerkin_s,rt_total_s
4,16,9.0,231,3,0.4,0,0.1,1,"V=0.1cos(1,0)",1,5.6321122903191495e-05,0.003732842858749767,2.2534535585675353e-07,0.04264014327112209,0.017056057308448835,0.001246517923243616,0.0037319429185678618,0.0013964370009489357,0.2230591310071759,nan,nan,0.4871613629802596
4,16,9.0,231,3,0.5,0,0.1,1,"V=0.1cos(1,0)",1,5.965714419283617e-05,0.006024928602802136,2.5227846569384897e-07,0.04264014327112209,0.021320071635561044,0.0015430640748438104,0.0060100570555170945,0.0013964370009489357,0.2230591310071759,nan,nan,1.9791008440079167
4,16,9.0,231,3,0.6,0,0.1,1,"V=0.1cos(1,0)",1,5.804477706538924e-05,0.00457991262875387,2.3792395782770525e-07,0.04264014327112209,0.025584085962673253,0.0018298457072122546,0.00456317131373708,0.0013964370009489357,0.2230591310071759,nan,nan,0.41671315499115735
4,16,9.0,231,3,0.7,0,0.1,1,"V=0.1cos(1,0)",1,5.249690760336175e-05,0.004118710660015886,1.9363302898842013e-07,0.04264014327112209,0.02984810028978546,0.0021051518317153047,0.004116214066766077,0.0013964370009489357,0.2230591310071759,nan,nan,0.8949363990104757
4,16,9.0,231,3,0.8,0,0.1,1,"V=0.1cos(1,0)",1,4.485363024669592e-05,0.003814560864563931,1.4068809205790676e-07,0.04264014327112209,0.03411211461689767,0.0023673564057154384,0.003811969706256935,0.0013964370009489357,0.2230591310071759,nan,nan,1.1463275189744309
4,16,9.0,231,3,0.9,0,0.1,1,"V=0.1cos(1,0)",1,3.774788978623845e-05,0.00399724141032563,9.970910679349024e-08,0.04264014327112209,0.03837612894400988,0.0026149137796814925,0.0039953630770013975,0.0013964370009489357,0.2230591310071759,nan,nan,0.32062837202101946
4,16,9.0,231,3,1.0,0,0.1,1,"V=0.1cos(1,0)",1,3.404323252956875e-05,0.004372268922358932,8.213114122063867e-08,0.04264014327112209,0.04264014327112209,0.0028463583987863297,0.004367031319310794,0.0013964370009489357,0.2230591310071759,nan,nan,0.6922093670000322
4,16,10.0,251,3,0.1,0,0.1,1,"V=0.1cos(1,0)",1,7.655310236823177e-06,0.001083769592980527,8.321735338316682e-09,0.04155030231950143,0.004155030231950143,0.0003165161521131304,0.0010771217772155095,0.0013964370009489357,0.2230591310071759,nan,nan,5.567381884990027
4,16,10.0,251,3,0.2,0,0.1,1,"V=0.1cos(1,0)",1,1.4316560408594142e-05,0.0007536336223686661,2.9104367129841484e-08,0.04155030231950143,0.008310060463900286,0.0006310064978513904,0.0007446978469814068,0.0013964370009489357,0.2230591310071759,nan,nan,4.467977305001114
4,16,10.0,251,3,0.3,0,0.1,1,"V=0.1cos(1,0)",1,1.9118206226557514e-05,0.001221163024118253,5.202837634367926e-08,0.04155030231950143,0.01246509069585043,0.0009414680062957281,0.0012240012929836002,0.0013964370009489357,0.2230591310071759,nan,nan,4.255482356995344
4,16,10.0,251,3,0.4,0,0.1,1,"V=0.1cos(1,0)",1,2.1442443559739677e-05,0.0018043001059856816,6.598091394683687e-08,0.04155030231950143,0.01662012092780057,0.0012459412859569848,0.001799256625013729,0.0013964370009489357,0.2230591310071759,nan,nan,1.7497917860164307
4,16,10.0,251,3,0.5,0,0.1,1,"V=0.1cos(1,0)",1,2.101459111116718e-05,0.002066496461409809,6.450702809853899e-08,0.04155030231950143,0.020775151159750715,0.0015425278803274814,0.002060105426824865,0.0013964370009489357,0.2230591310071759,nan,nan,0.7676920469966717
